County,Percentage
Autauga,19.6
Baldwin,8.9
Barbour,48.4
Bibb,21.3
Blount,1.6
Bullock,70.7
Butler,44.9
Calhoun,21.1
Chambers,40.0
Cherokee,4.3
Chilton,10.4
Choctaw,41.7
Clarke,44.6
Clay,14.1
Cleburne,2.9
Coffee,17.7
Colbert,16.2
Conecuh,46.3
Coosa,30.9
Covington,12.6
Crenshaw,23.5
Cullman,1.3
Dale,21.0
Dallas,70.5
DeKalb,1.9
Elmore,21.5
Escambia,31.7
Etowah,15.7
Fayette,12.0
Franklin,4.5
Geneva,9.5
Greene,80.1
Hale,58.1
Henry,26.3
Houston,27.2
Jackson,3.6
Jefferson,43.5
Lamar,10.6
Lauderdale,10.1
Lawrence,10.9
Lee,23.1
Limestone,13.8
Lowndes,72.5
Macon,80.7
Madison,24.9
Marengo,51.4
Marion,3.9
Marshall,3.0
Mobile,36.1
Monroe,41.2
Montgomery,59.0
Morgan,13.0
Perry,67.9
Pickens,40.2
Pike,37.7
Randolph,19.5
Russell,45.7
Shelby,13.1
St. Clair,9.5
Sumter,71.8
Talladega,32.8
Tallapoosa,27.1
Tuscaloosa,32.1
Walker,6.2
Washington,23.5
Wilcox,71.3
Winston,0.9
